Pardavejo: VL-Serv komplektines saskaitos fakturos 
Sakatoje AKU-1822505 rastas komplektas: A0030100651, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
Sakatoje AKU-1823124 rastas komplektas: 32818, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
892928; 08-02-01-3060; 1; vnt.; 
905297; L2845; 1; vnt.; 
915044; 04-02-00-0128; 1; vnt.; 
926398; 16665; 1; vnt.; 
929455; TD01-50-009R; 1; vnt.; 
955992; N000000005915; 1; vnt.; Komplekto detale.
956255; 138809; 1; vnt.; 
956257; 138810; 1; vnt.; 
956280; 336815; 2; vnt.; 
956282; 113820; 4; vnt.; 
956339; 220098; 1; vnt.; 
956386; 641405; 1; vnt.; 
956623; A000989082512; 5; l.; 

Sakatoje AKU-1823728 rastas komplektas: 44202, kiekis 1 vnt. Saskaitos komplektiskumas: 0.625.
Kitos saskaitoje esancios detales:
798281; A5419900504; 3; vnt.; Komplekto detale.
884156; A5419900504; 1; vnt.; Komplekto detale.
934189; A000989082512; 2; l.; 
946214; A0001404478REST; 1; vnt.; 
960112; 9004218A; 1; vnt.; 
960163; 113820; 4; vnt.; 
960164; 182853; 4; vnt.; 
960192; 620V; 4; vnt.; 
960193; 817; 2; vnt.; 

Sakatoje AKU-1823977 rastas komplektas: 35877, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
956669; N000000005915; 1; vnt.; Komplekto detale.

Sakatoje AKU-1822859 rastas komplektas: 12-01-03-0139, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
582638; N308765024011; 1; vnt.; 
817249; A0205451726; 1; vnt.; 
831647; A0015455803; 1; vnt.; 
836991; A0155457826; 4; vnt.; 
846095; 30811; 1; vnt.; 
872253; 30811; 1; vnt.; 
876400; A0009905348; 1; vnt.; Komplekto detale.
876401; A0059904151; 1; vnt.; Komplekto detale.
877845; A0011554615; 1; vnt.; Komplekto detale.
886273; 10-02-04-0320; 1; vnt.; 
890335; A0019905451; 2; vnt.; 
907733; 15167; 2; vnt.; 
929962; 935621; 7; vnt.; 
936289; 90160; 1; kompl.; 
940212; TE75W90GL4FUCHS; 6; l.; 
940606; 28245; 1; vnt.; 
940610; 30804; 2; vnt.; 
942694; 9364818; 5; vnt.; 
943394; 30814; 2; vnt.; 
943460; 100862; 1; vnt.; 
946372; A0004770103; 1; vnt.; 
947186; 13-05-01-0981; 1; vnt.; 
947860; A5410900151; 1; vnt.; 
950546; LA 42/1 ; 1; vnt.; 
951365; AL 12; 1; vnt.; 
951376; 21545; 2; vnt.; 
951608; A0015450880; 4; vnt.; 
951615; 113820; 6; vnt.; 
951616; 336815; 4; vnt.; 
951721; 671; 1; vnt.; 
951722; 20290; 2; vnt.; 
951723; 20369; 2; vnt.; 
951769; TE10W40MOBILXHP; 30; l.; 
951803; TEGL5FUCHS; 30; l.; 
951873; TE75W90GL4FUCHS; 17; l.; 
951962; N000000005550; 1; vnt.; 
952382; 33692000; 1; vnt.; 
952408; 1EH009513-341; 1; vnt.; 
952412; TE75W90GL4FUCHS; 6; l.; 
952426; TELIGRAF; 1; kg.; 
952455; TE10W40MOBILXHP; 7; l.; 
952519; 113820; 2; vnt.; 
952521; 336815; 2; vnt.; 
952927; KLP�REST; 2; vnt.; 
954223; REST0029; 1; vnt.; 
954500; TEATF4000; 3; vnt.; 
954651; PKP210RMX730; 1; vnt.; 

Sakatoje AKU-1823735 rastas komplektas: A6110170060, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
444718; A6460161221; 1; vnt.; 
918092; A0009902907; 4; vnt.; Komplekto detale.
925216; KL313; 1; vnt.; 
958494; LX1845; 1; vnt.; 
958988; TE10W40MOBILXHP; 7.5; l.; 
959147; A6111800009; 1; vnt.; 
959560; L5007; 1; vnt.; 
959630; 56550; 1; vnt.; 
959811; V1202; 2; vnt.; 
960114; A6460161321; 4; vnt.; 
960329; TE10W40MOBILXHP; 1.5; l.; 

Sakatoje AKU-1821993 rastas komplektas: TX 18 83, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
389233; 52272-S; 4; vnt.; 
871211; A3520780080; 2; vnt.; 
948376; 10720.00; 1; vnt.; 
948381; 768820; 1; vnt.; 
948383; A3880170160; 6; vnt.; 
948387; A3662030380; 1; vnt.; 
948388; 461873; 4; vnt.; 
948390; 21395.00; 3; vnt.; 
948392; 768970; 1; vnt.; 
948863; 820075; 1; kompl.; 
949321; 57694; 1; vnt.; 
949329; REST0026; 1; vnt.; 
949401; A0249972848; 1; vnt.; Komplekto detale.
949592; A000989082512; 5; l.; 
949594; 23-01-00-0007; 0.2; vnt.; 

Sakatoje AKU-1823068 rastas komplektas: A4719935896, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
932540; A9608300618; 1; vnt.; 
936898; 10-01-01-1334; 1; vnt.; 
938754; L7511; 2; vnt.; 
946479; 14708; 2; vnt.; 
955306; L5627; 1; vnt.; 
955324; TELIGRAF; 0.8; kg.; 
956216; 012.212-00A; 1; vnt.; 

Sakatoje AKU-1821576 rastas komplektas: 076.817-00A, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
925969; N000000005915; 1; vnt.; Komplekto detale.
929797; 10-01-01-1334; 1; vnt.; 
936985; 10-01-01-1336; 1; vnt.; 
943400; A9403501035; 2; vnt.; Komplekto detale.
944260; N000000005915; 1; vnt.; Komplekto detale.
946333; 19330; 20; vnt.; Analogas detalei A9429902804
946391; A000989082512; 15; l.; 
946781; TE75W90GL5FUCHS; 2; l.; 
946797; 943/116; 1; vnt.; 
946859; 113820; 3; vnt.; 
946861; 182853; 3; vnt.; 
946899; L7537; 1; vnt.; 

Sakatoje AKU-1823920 rastas komplektas: 076.176-10A, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
956797; N000000005915; 1; vnt.; Komplekto detale.
961722; 671; 1; vnt.; 

Sakatoje AKU-1821687 rastas komplektas: 02-04-02-0151, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
789244; A5410104621; 1; vnt.; 
803780; N000000007630; 1; vnt.; 
872457; 23-01-00-0006; 0.3; vnt.; 
874498; A0005003149; 1; vnt.; 
910014; A9060170860; 3; vnt.; 
921652; N000000005461; 1; vnt.; Komplekto detale.
925292; 22752; 1; vnt.; 
928989; A4579901101; 1; vnt.; 
930080; 22751; 1; vnt.; 
930228; A0139971447; 1; vnt.; 
935005; A0249972848; 2; vnt.; 
944256; A0109815625; 1; vnt.; Komplekto detale.
944762; A5419970545; 3; vnt.; 
944763; A5419970645; 3; vnt.; 
944764; A5419900501; 12; vnt.; Komplekto detale.
945088; XB40011; 1; vnt.; 
945948; 113820; 10; vnt.; 
945949; 768812; 10; vnt.; 
946466; 641472; 1; vnt.; 
946793; REST0095; 2; vnt.; 
946794; REST41994; 1; vnt.; 
946840; 833; 10; vnt.; 
946842; 825; 10; vnt.; 
946873; A4579901101; 1; vnt.; 
946874; 2518; 2; vnt.; 
947440; A5411880080; 1; vnt.; 
947560; A0239976448; 1; vnt.; Komplekto detale.
947561; A0239976548; 1; vnt.; Komplekto detale.
