Pardavejo: KN-Serv komplektines saskaitos fakturos 
Sakatoje AKU-1823834 rastas komplektas: A0008300720, kiekis 1 vnt. Saskaitos komplektiskumas: 0.666666666666667.
Kitos saskaitoje esancios detales:
958512; A6563340115; 1; vnt.; 

Sakatoje AKU-1822560 rastas komplektas: 47501, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
936418; A0159977746; 1; vnt.; 
942032; 10-01-01-1334; 1; vnt.; 
948046; A5411870080; 1; vnt.; 
951697; 10-01-04-0012; 1; kompl.; 
951805; 10-01-01-1336; 1; vnt.; 
951966; A0189973145; 1; vnt.; 
952214; REST40597; 1; vnt.; 

Sakatoje AKU-1823005 rastas komplektas: A0005447611, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
571216; A0004291697 ; 1; vnt.; 
736290; A6555250038; 1; vnt.; 
798402; A0005445211; 1; vnt.; 
827903; A9605801822; 1; vnt.; 
842175; A9605801822; 1; vnt.; 
859057; 12092; 2; vnt.; 
875370; P450216; 2; vnt.; 
882651; 64216TSP; 1; vnt.; 
889287; A9605250251DEF; 1; vnt.; 
924821; A0019907099; 1; vnt.; 
925327; 43446; 1; vnt.; 
930943; 19-01-00-0014; 1; vnt.; 
933887; 13-05-01-1021; 1; vnt.; 
943489; 30811; 2; vnt.; 
945506; 13-05-01-1018; 1; vnt.; 
947199; 19-02-00-0054; 1; vnt.; 
954183; 23473; 2; vnt.; 
954334; A9603261281; 2; vnt.; 
954342; KX 406KIT; 1; vnt.; 
954355; OX 423/9D ECO; 1; vnt.; 
954371; CP49001; 1; vnt.; 
954381; CU 32002; 1; vnt.; 
954387; HX15; 1; vnt.; 
954479; 336815; 4; vnt.; 
954483; HAWRK/LED0525; 1; vnt.; 
954505; 97276; 4; vnt.; 
954506; 4340; 4; vnt.; 
954507; 8940; 4; vnt.; 
954525; 12505; 4; vnt.; 
955003; 336815; 2; vnt.; 
955005; L5627; 2; vnt.; 
955006; 2845TSP; 2; vnt.; 
955007; LAIKIKLIS; 1; vnt.; 
955020; 90160; 1; kompl.; 
955023; A20199002929051; 4; vnt.; 
955150; KNIEDE; 12; vnt.; 
955232; REST47815; 1; vnt.; 
955307; TEEP1; 0.2; kg.; 
955390; 26529; 1; vnt.; 
955391; 26529; 1; vnt.; 
955528; TE75W90GL5FUCHS; 24; l.; 
955627; TE5W30DELVAC1LE; 34; l.; 

Sakatoje AKU-1822007 rastas komplektas: A9705253539, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
793516; A0028205156DEF; 1; vnt.; 
814152; 8990; 4; vnt.; 
832885; A0003278525; 1; vnt.; 
857388; A9705010282; 1; vnt.; 
912733; A9705040040; 1; vnt.; 
920038; 131 676; 2; vnt.; 
921987; A0004600300; 1; vnt.; 
936976; 04-06-00-0127; 1; vnt.; 
946991; TEATF4000; 1; vnt.; 
947126; GUMZIED; 4; vnt.; 
947431; A9703170401; 1; vnt.; 
947598; 98299; 2; vnt.; 
947599; 404489B; 1; vnt.; 
947600; 6483; 2; vnt.; 
947601; 6491; 1; vnt.; 
947618; 8990; 4; vnt.; 
947636; T1246; 2; vnt.; 
947647; L5627; 2; vnt.; 
947648; L5637; 1; vnt.; 
947655; 404489B; 7; vnt.; 
947656; 6491; 7; vnt.; 
947657; 7498; 7; vnt.; 
