Pardavejo: SL-Serv komplektines saskaitos fakturos 
Sakatoje AKU-1822581 rastas komplektas: 7811234AKIT, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
866997; 9031988A; 1; vnt.; Komplekto detale.

Sakatoje AKU-1823410 rastas komplektas: 44202, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
420859; 98825; 1; vnt.; 
932574; 13-05-01-0981; 1; vnt.; 
938160; A5411310780; 1; vnt.; 
956393; BB0425; 2; vnt.; 
956709; 94919960; 1; vnt.; 
957080; G10023PC; 1; vnt.; 
958692; 12416; 2; vnt.; 
958693; KAISTIS817; 7; vnt.; 
958703; 817; 4; vnt.; 
958705; 126417; 4; vnt.; 

Sakatoje AKU-1823825 rastas komplektas: A0001420106, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
947872; 1322851B; 1; vnt.; 
951393; 1322851B; 1; vnt.; 
956894; 1322851B; 1; vnt.; 

Sakatoje AKU-1823891 rastas komplektas: 0 124 655 097, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
710763; A0004700305; 1; vnt.; 
752678; KTDET; 2; vnt.; 
768273; A9429970290; 1; vnt.; 
921073; A9429970290; 1; vnt.; 
935917; L64215; 1; vnt.; 
939376; L64215; 1; vnt.; 
942808; L2845; 5; vnt.; 
943349; 5003088; 4; vnt.; 
943356; 80927; 1; vnt.; 
943359; 5.70076E+12; 1; vnt.; 
946620; A9604706102; 1; vnt.; 
951928; L64215; 1; vnt.; 
954782; KL5-20; 1; vnt.; 
960362; 80927; 2; vnt.; 
960366; 80722; 1; vnt.; 
960367; 81720; 1; vnt.; 
960465; KAISTIS817; 16; vnt.; 
960466; KAISTIS817; 16; vnt.; 
960489; 103507; 6; m.; 
960492; 305847; 0.5; m.; 
960493; KAISTIS817; 3; vnt.; 
960494; KTDET1; 2; vnt.; 
960497; 97349; 8; vnt.; 
960499; KTDET; 2; vnt.; 
961374; KL5-20; 1; vnt.; 

