Pardavejo: KL-Real komplektines saskaitos fakturos 
Sakatoje AKU-1823172 rastas komplektas: A9606662228, kiekis 2 vnt. Saskaitos komplektiskumas: 0.625.
Kitos saskaitoje esancios detales:
931372; KC 505D; 1; vnt.; 
953022; 01-06-00-0008; 1; vnt.; 

Sakatoje AKU-1822330 rastas komplektas: 10-01-02-0848, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
523744; A9423341501; 1; vnt.; 
836422; A9433340080; 1; vnt.; 
949347; 10-01-01-0544; 2; vnt.; 
951711; NWB9254861010; 1; vnt.; 

Sakatoje AKU-1823713 rastas komplektas: A0065451114, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
903877; 6286; 1; vnt.; 
913345; LX 1734; 1; vnt.; 
919842; 10922; 2; vnt.; 
925363; A9429900114; 1; vnt.; 
933893; 15-01-02-0371; 1; vnt.; 
941482; 01-01-00-0694; 1; vnt.; 
947147; 01-04-00-0191; 1; vnt.; 
949219; 01-04-00-0191; 1; vnt.; 
953031; LX 1734; 1; vnt.; 
957358; 01-03-00-0969; 1; vnt.; 
957608; E175H D129; 1; vnt.; 
958375; A9415410024; 1; vnt.; 
959349; A0029943745; 10; vnt.; 
960079; 01-02-00-0383; 2; vnt.; 
960080; 01-02-00-0631; 2; vnt.; 
960083; 15-03-01-0030; 2; vnt.; 
960156; GDB5073; 1; vnt.; 

Sakatoje AKU-1823275 rastas komplektas: 10-01-02-0848, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
886260; 07-01-01-0523; 1; vnt.; 
899264; 08-04-01-0146; 1; vnt.; 
903567; 07-01-01-0253; 1; vnt.; 
915396; 07-01-01-0523; 1; vnt.; 
916517; 07-01-01-0253; 1; vnt.; 
919891; LA 358 ; 1; vnt.; 
919956; OX161 D ECO; 1; vnt.; 
921981; A9413260050; 2; vnt.; 
927662; N000000005740; 1; vnt.; 
931374; KX 67/2D ECO ; 1; vnt.; 
932702; 28390; 1; vnt.; 
933853; 01-01-00-0708; 1; vnt.; 
941914; KC200; 1; vnt.; 
941974; 3434382000; 1; vnt.; 
943135; 08-02-01-2261; 1; vnt.; 
944798; LA85; 1; vnt.; 
946713; A0003237985; 2; vnt.; 
947145; 01-02-00-0383; 1; vnt.; 
947146; 01-02-00-0631; 1; vnt.; 
950592; 35525; 1; vnt.; 
951687; A0003262481; 1; vnt.; 
953904; 10-01-01-0544; 1; vnt.; 
955773; A9703250184; 1; vnt.; 
955934; N000000005740; 3; vnt.; 
956279; 101127508; 1; vnt.; 
957357; LX 3480KIT ; 1; vnt.; 
957361; 28390; 1; vnt.; 

Sakatoje AKU-1823634 rastas komplektas: 01 0500 501002, kiekis 1 vnt. Saskaitos komplektiskumas: 0.833333333333333.
Kitos saskaitoje esancios detales:
934505; A5410151680; 1; vnt.; Komplekto detale.
934506; A5410151780; 1; vnt.; Komplekto detale.
952564; A0239976448; 6; vnt.; Komplekto detale.
952565; A0239976548; 6; vnt.; Komplekto detale.
957097; A5410151380; 1; vnt.; Komplekto detale.

Sakatoje AKU-1823060 rastas komplektas: A0024206448, kiekis 1 vnt. Saskaitos komplektiskumas: 0.5.
Kitos saskaitoje esancios detales:
941295; A0009978134; 1; vnt.; Komplekto detale.
942779; A0009978134; 1; vnt.; Komplekto detale.
943500; A0004600300; 1; vnt.; 

Sakatoje AKU-1823713 rastas komplektas: A0004203848, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
903877; 6286; 1; vnt.; 
913345; LX 1734; 1; vnt.; 
919842; 10922; 2; vnt.; 
925363; A9429900114; 1; vnt.; 
933893; 15-01-02-0371; 1; vnt.; 
941482; 01-01-00-0694; 1; vnt.; 
947147; 01-04-00-0191; 1; vnt.; 
949219; 01-04-00-0191; 1; vnt.; 
953031; LX 1734; 1; vnt.; 
957358; 01-03-00-0969; 1; vnt.; 
957608; E175H D129; 1; vnt.; 
958375; A9415410024; 1; vnt.; 
959349; A0029943745; 10; vnt.; 
960079; 01-02-00-0383; 2; vnt.; 
960080; 01-02-00-0631; 2; vnt.; 
960083; 15-03-01-0030; 2; vnt.; 
960156; GDB5073; 1; vnt.; 

Sakatoje AKU-1823802 rastas komplektas: 44202, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
917163; A5419900504; 4; vnt.; Komplekto detale.

Sakatoje AKU-1823402 rastas komplektas: 10-01-02-0848, kiekis 2 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
870511; 21-02-00-0814; 1; vnt.; 
937801; T3078; 1; vnt.; 
938842; 10-01-01-0544; 2; vnt.; 
943602; 07-01-01-0423; 1; vnt.; 
943603; 07-01-01-0672; 1; vnt.; 
945443; 011.409-00A; 1; vnt.; 
945483; 07-01-01-0672; 1; vnt.; 
945531; 10-01-01-0544; 1; vnt.; 
947149; 10-01-01-0544; 2; vnt.; 
949220; 07-01-01-0423; 1; vnt.; 
958048; 60200358; 1; vnt.; 
958076; 60170883; 1; vnt.; 

Sakatoje AKU-1823402 rastas komplektas: 10-01-02-0848, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
870511; 21-02-00-0814; 1; vnt.; 
937801; T3078; 1; vnt.; 
938842; 10-01-01-0544; 2; vnt.; 
943602; 07-01-01-0423; 1; vnt.; 
943603; 07-01-01-0672; 1; vnt.; 
945443; 011.409-00A; 1; vnt.; 
945483; 07-01-01-0672; 1; vnt.; 
945531; 10-01-01-0544; 1; vnt.; 
947149; 10-01-01-0544; 2; vnt.; 
949220; 07-01-01-0423; 1; vnt.; 
958048; 60200358; 1; vnt.; 
958076; 60170883; 1; vnt.; 

