Pardavejo: SL-Real komplektines saskaitos fakturos 
Sakatoje AKU-1822464 rastas komplektas: 7811235AKIT, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
794673; 16-03-99-0055; 1; vnt.; 
815717; 1303770; 1; vnt.; 

Sakatoje AKU-1821647 rastas komplektas: 1322585A, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
794673; 16-03-99-0055; 1; vnt.; 
815717; 1303770; 1; vnt.; 

Sakatoje AKU-1821932 rastas komplektas: 1322585A, kiekis 2 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
901695; A9418900070; 1; vnt.; 
933813; N000000005574; 10; vnt.; 
935003; A9418900070; 1; vnt.; 
935590; A9418900070; 1; vnt.; 
944304; A9418900070; 3; vnt.; 
944930; A9418900070; 1; vnt.; 
944952; A9418900070; 1; vnt.; 
944960; A9418900070; 1; vnt.; 
945412; 9028635A; 7; vnt.; 
946707; N000000005574; 10; vnt.; 
948705; 9028635A; 3; vnt.; 

Sakatoje AKU-1821932 rastas komplektas: 1322585A, kiekis 2 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
901695; A9418900070; 1; vnt.; 
933813; N000000005574; 10; vnt.; 
935003; A9418900070; 1; vnt.; 
935590; A9418900070; 1; vnt.; 
944304; A9418900070; 3; vnt.; 
944930; A9418900070; 1; vnt.; 
944952; A9418900070; 1; vnt.; 
944960; A9418900070; 1; vnt.; 
945412; 9028635A; 7; vnt.; 
946707; N000000005574; 10; vnt.; 
948705; 9028635A; 3; vnt.; 

Sakatoje AKU-1822431 rastas komplektas: A0060179721, kiekis 6 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
696398; 001PL19619000; 1; vnt.; 
706631; 001PL19619000; 1; vnt.; 
745168; 02-01-05-0225; 1; vnt.; 
803835; 001PL19619000; 4; vnt.; 
913209; A5410140822; 1; vnt.; 
943593; A9425281282; 1; vnt.; 

Sakatoje AKU-1823795 rastas komplektas: 9004220A, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
876651; 1322851B; 1; vnt.; 

