455963;AKU-1823733;A4700902752;Filtras kuro MP4 AKCIJA;1;vnt.;1.00 vnt.;KL-Real;13.52;
456796;AKU-1823617;A3872622473;Fiksuojantis þiedas;1;vnt.;1.00 vnt.;SL-Serv;4.13;
458706;AKU-1823011;A9425280382;Gofra tarp filtro korp ir paemimo (naudota);1;vnt.;1.00 vnt.;SL-Serv;9.3;
459199;AKU-1823783;A9019900047;Spyruoklinë poverþlë 8mm;1;vnt.;1.00 vnt.;SL-Serv;1.6;
462698;AKU-1824056;A9463560701;Stebulë galinë (naudota)PJM;1;vnt.;1.00 vnt.;KL-Real;135;
463924;AKU-1822365;A9435420034;Laikiklis skarda po FM (naudota);1;vnt.;1.00 vnt.;VL-Serv;15;
466232;AKU-1822611;A9704700224;AdBlue matuoklë 25L bako (naudota);1;vnt.;1.00 vnt.;VL-Real;130;
467676;AKU-1823038;A0005429125;Átampos keitiklis 24v/12v 18A (naudotos);1;vnt.;1.00 vnt.;SL-Real;10;
468283;AKU-1823212;A9418300415;Kondicionieriaus þarnelë (naudota);1;vnt.;1.00 vnt.;SL-Real;27.6;
476252;AKU-1823697;21764937;!Filtras kuro. smulkaus valymo;4;vnt.;4.00 vnt.;KL-Real;76;
477005;AKU-1823697;21764937;!Filtras kuro. smulkaus valymo;1;vnt.;1.00 vnt.;KL-Real;19;
480136;AKU-1822985;15291;Kryþmë 48x126 FEBI;1;vnt.;1.00 vnt.;KN-Serv;33.7;
483624;AKU-1823217;A6842950174;Sankabos cilindro pirðtas (naudotas);1;vnt.;1.00 vnt.;KN-Serv;2;
485164;AKU-1823697;21764937;!Filtras kuro. smulkaus valymo;5;vnt.;5.00 vnt.;KL-Real;95;
486491;AKU-1822143;A5410707832;Kuro vamzdelis gráþtamas tarp galvø(naudotas);0.5;vnt.;0.50 vnt.;SL-Serv;25;
487782;AKU-1823467;A5410700235;Kuro vamzdelis (naudotas);1;vnt.;1.00 vnt.;KN-Real;15;
491111;AKU-1823827;14-04-05-0119;Pakabos lygio daviklis RVI;1;vnt.;1.00 vnt.;NepVC;31.38;
495787;AKU-1821490;A3814927604;Duslintuvo galinis vamzdis;1;vnt.;1.00 vnt.;KN-Real;83.34;
496257;AKU-1822835;A9417600559;Durø rankena d.p. (naudota);1;vnt.;1.00 vnt.;KL-Serv;42.75;
496304;AKU-1821521;A9438850325;Bamperio paþeminimas k.p. SIDABRINIS(naudotas);1;vnt.;1.00 vnt.;KL-Real;6;
497941;AKU-1821521;A9416605031;Laipto laikiklis priek.d.p (naudotas);1;vnt.;1.00 vnt.;KL-Real;10;
500358;AKU-1822317;A0075457524;Variklio stabdþio jungiklis (naudotas);1;vnt.;1.00 vnt.;VL-Serv;40;
508825;DKS-0008038;A9416840918;Apdaila prie slenksèio  k.p. (naudota);1;vnt.;1.00 vnt.;KN-Real;10;
509575;AKU-1823699;A5412340939;Kronðteinas kompresoriaus aliuminis (naudotas)PJM;1;vnt.;1.00 vnt.;VL-Real;82.8;
509634;AKU-1823829;65210A;Kuro siurblys HL18/24 AT2000 24V (naudotas);1;vnt.;1.00 vnt.;KN-Real;29.1;
511095;AKU-1822011;KC 429 D;Filtras kuro MAHLE;1;vnt.;1.00 vnt.;KN-Serv;29.65;
521411;AKU-1822637;A9425001103SU;Auðinimo Radiatorius su dëþës auðinimo(naudotas);1;vnt.;1.00 vnt.;VL-Real;180;
522202;AKU-1822920;2.52122E+11;Þvakës tinkliukas Hydronic I D5W I EBERSPACHER;1;vnt.;1.00 vnt.;KL-Serv;12.45;
523693;AKU-1821572;A94388417227C72;Apdaila k.p. kampo vidinë;1;vnt.;1.00 vnt.;KN-Serv;93.42;
523744;AKU-1822330;A9423341501;Stebulë priek. (naudota)PJM;1;vnt.;1.00 vnt.;KL-Real;145.5;
524886;AKU-1822390;A9416600777;Laipto laikiklis vamzdis d.p. (anudotas);1;vnt.;1.00 vnt.;KN-Real;37.2;
525172;AKU-1822300;A9463560226;Verþlë stebulës G (naudota);2;vnt.;2.00 vnt.;VL-Real;6;
530651;AKU-1823689;A9433340945;Stebulës flanðas (naudotas)PJM;1;vnt.;1.00 vnt.;KL-Real;90;
531027;AKU-1822920;2.52122E+11;Þvakës tinkliukas Hydronic I D5W I EBERSPACHER;1;vnt.;1.00 vnt.;KL-Serv;12.45;
532592;AKU-1822867;A0005016415;Kamðtis iðsiplëtimo bakelio (naudotas);1;vnt.;1.00 vnt.;VL-Serv;3.6;
538925;AKU-1823253;A0035441632;Posûkiø relë TB 59 (naudota);1;vnt.;1.00 vnt.;KN-Serv;20;
538952;AKU-1822409;A0014295544;Oro sistemos voþtuvas (naudotas);1;vnt.;1.00 vnt.;VL-Serv;50;
539374;DKS-0007954;3377301;Ðarnyras pr. apat. svirties LMI;1;vnt.;1.00 vnt.;VL-Real;12.63;
539485;AKU-1823125;A0078300661;Aut.ðildytuvas AIRTOP 2000 ST (naudotas);1;vnt.;1.00 vnt.;KN-Real;285;
542861;AKU-1823091;A0004463232;Durø valdymo blokas k.p.  (naudotas) PJM;1;vnt.;1.00 vnt.;VL-Serv;100;
542939;AKU-1822439;A0034203624;Stabdþiø kamera priekis  (naudotas);1;vnt.;1.00 vnt.;KL-Real;75;
544287;AKU-1824056;A0004319413;Priekabos valdymo voþtuvas (naudotas)PJM;1;vnt.;1.00 vnt.;KL-Real;135;
548594;AKU-1822365;A9417203606;Durø prailginimo laikiklis d.p (naudotas);1;vnt.;1.00 vnt.;VL-Serv;15;
548836;AKU-1823078;A0229977647;Riebokðlis alkûninio pr. 78x104x11;1;vnt.;1.00 vnt.;VL-Serv;23.93;
549113;AKU-1821580;A9415410024;Akumuliatoriø tvirtinimo komplektas (naudotas);1;vnt.;1.00 vnt.;KL-Real;9;
549257;AKU-1823834;A0008300720;+Salono peèiuko radiatorius (naudotas)PJM;1;vnt.;1.00 vnt.;KN-Serv;45;
549918;AKU-1821578;A0005016415;Kamðtis iðsiplëtimo bakelio (naudotas);1;vnt.;1.00 vnt.;VL-Serv;3.72;
559749;AKU-1822363;A0007200179;Stiklo pakelëjas d.p.MP2 (naudotas);1;vnt.;1.00 vnt.;KN-Real;92;
561562;AKU-1822641;BM04B3017R;Galinio sparno pr.d.p. dalis IÐPARDAVIMAS;1;vnt.;1.00 vnt.;VL-Serv;18.22;
561648;AKU-1823098;A9463560152;Ðaiba prie guolio (naudota);1;vnt.;1.00 vnt.;KN-Real;5;
566486;AKU-1821748;A9423341501;Stebulë PRIEKINË. A9423341201(naudota)PJM;1;vnt.;1.00 vnt.;VL-Real;130;
566520;AKU-1821706;A9428906283;Kabinos kronðteinas d.p (naudotas);1;vnt.;1.00 vnt.;KN-Real;91;
